Description,Classificació,Classificació_01,Classificació_02
I al marge del coronavirus El policia local de Benidorm que va insultar una dona transsexual ha passat la nit al calabós després dhaver sigut detingut per la Policia Nacional Se linvestiga per un possible delicte dodi LAjuntament lha suspés provisionalment de les seues funcions juntament amb el company que va gravar les imatges La Conselleria de Justícia ha ordenat també una investigació i lObservatori contra la LGTIFOBIA demana una resposta contundent DETINGUT PELS INSULTS TRÀNSFOBS,JUSTÍCIA I ORDRE  PÚBLIC,JUSTÍCIA I ORDRE  PÚBLIC,
Els ingressos hospitalaris de persones afectades per la Covid shan reduït un per cent en les últimes dos setmanes a la Comunitat Valenciana fins a arribar als ingressats En les xifres donades hui a conéixer per la Conselleria de Sanitat Universal i Salut Pública destaca també la reducció a la mitat dels ingressats a les UCI en els últims quinze dies Actualment el nombre de persones en unitats de cures intensives és de Des del començament de lepidèmia shan resgistrat un total de casos dels quals han rebut lalta La xifra de persones contagiades ha pujat hui en un repunt que duplica la quantitat dahir quan només safegiren nous casos persones han mort quatre més que ahir LES DADES A LA COMUNITAT VALENCIANA,MEDICINA I SANITAT,MEDICINA I SANITAT,
El president del govern espanyol Pedro Sánchez ha presidit hui a Madrid la reunió del comité de la COVID El director del Centre de Coordinació dAlertes i Emergències Sanitàries Fernando Simón li ha transmés les últimes informacions sobre lefecte de la pandèmia a Espanya Sánchez ha demanat a la població prudència i responsabilitat en la primera jornada en què els adults poden eixir a passejar i fer esport REUNIÓ DEL COMITÉ CIENTÍFIC DE LA COVID,POLÍTICA | MEDICINA I SANITAT,POLÍTICA,MEDICINA I SANITAT
Pel que fa a la xifra de víctimes mortals en tot lEstat tercer dia consecutiu que es manté per davall de les De fet ha experimentat una lleu baixada fins a les Lluny dels més de MIL nous positius de diumenge passat hui han sigut poc més dun miler pel que el total puja a més de MIL També pugen les altes que shan duplicat en només una setmana LES DADES EN EL CONJUNT DE LESTAT,MEDICINA I SANITAT,MEDICINA I SANITAT,
Primer dia dalleujament del confinament després de setmanes de reclusió a casa Corredors caminants i ciclistes han envaït els carrers en un dos de maig més típic de lestiu Ha sigut el primer pas a lexterior per als majors de anys Una jornada de desescalda que ha servit per a descarregar ladrenalina acumulada des del de març i també gaudir de laire lliure PRIMER DIA DE RESPIR A LAIRE LLIURE,SOCIETAT | ESPORTS,SOCIETAT,ESPORTS
Els coronavirus ens deixa xifres esperançadores en este segon dia en què sha ampliant al conjunt de la població la possibilitat deixir a passejar o fer esport A la Comunitat Valencia hem superat ja les MIL altes el que suposa que el dels contagis shan curat El nous positIus són i persones han perdut la vida en les últimes hores el que deixa un balanç de vícitmes de MIL Al conjunt de lestat hui sha registrat la xifra més baixa de morts des del passat de març noves víctimes mortals que fan pujar el total a més de MIL Els nous casos detectats per PCR també baixen a dades de març i no superen el miler mentre que les altes tripliquen els ingressos Shan detectat nous positius i persones més han perdut la vida Tot i el descens la quantitat total puja als Mentrestant a tot lEstat sha registrat la xifra de morts més baixa des del passat de març noves víctimes mortals que fan pujar el total a més de Els nous casos detectats per PCR també baixen a dades de març i no superen el miler mentre que les altes tripliquen els ingressos LA DADA DE MORTS A LESTAT COM LA DEL DE MARÇ,MEDICINA I SANITAT,MEDICINA I SANITAT,
Una de les reivindicacions centrals del Consell per a la planificació de la desescalada és que el marc de referència siga el departament de salut i no la província El govern del Botànic entén que la divisió provincial és una mesura administrativa que en cap cas respon a la incidència real de la pandèmia Pedro Sánchez va reiterar ahir que considera més adequada i fàcil de comprendre per al ciutadà la divisió provincial SOBRI LA PORTA A LA DESESCALADA PER DEPARTAMENTS,POLÍTICA | MEDICINA I SANITAT,POLÍTICA,MEDICINA I SANITAT
La Inspecció de Treball i els sindicats investiguen ja fraus en laplicació dels ERTO a les empreses valencianes Sobretot la dempelats i empelades que tot i estar acomiadats temporalment seguixen treballant des de casa i cobrant de lEstat Un frau que es castiga amb multes de fins a mil euros per treballador El teletreball seria una de les principals fonts de frau Seguixen treballant des de casa tot i estar acomiadats temporalment i per tant cobrant de lEstat és a dir de tots Són el casos més difícils dinvestigar per la Inspecció de Treball i afecten sobretot empreses menudes Tall Francisco Rogero Director territorial de la Inspecció de Treball i Seguretat Social somos concientes del nivel de fraude en el teletrabajo Y nos preocupa Para investigarlo habrá que requerir incluso la cooperación de las telefónicas Laltre frau investigat seria el dels anomenats treballadors paracaigudistes tall Rogero trabajadores que no formanan parte de la empresa cuando se tramita el ERTE y que reciben la prestación /RÈTOL/ Dos pràctiques que se sancionen amb multes de fins a mil euros per treballador el retorn dels diners cobrats il·legalment i en ocasions també amb penes de presó Aconseguir controlar ho queda en mans de només inspectors Sencarreguen de supervisar el mil ERTOS presentats a la Comunitat Són més de expedients per cap Els sindicats impulsen també la investigació dels casos i animen a denunciar tall Daniel Patiño hem de denunciar públicament al que comet la picaresca en este moment de crisi social on no es pot jugar amb els diners de tots Secretari Acció Sindical CCOO Perquè com INVESTIGUEN SI TREBALLADORS AFECTATS PER UN ERTO FAN TELETREBALL COBRANT DE LESTAT ESTOS FRAUS ESTAN SANCIONATS AMB MULTES DE FINS A EUROS I PENES DE PRESÓ,TREBALL | JUSTÍCIA I ORDRE  PÚBLIC,TREBALL,JUSTÍCIA I ORDRE  PÚBLIC
Hi ha zones de la Comunitat Valenciana que podrien NO passar a la fase de desescalada dilluns Una hipòtesi que sextrau de les paraules de la Consellera de Sanitat Ana Barceló en la roda de premsa diària en què sanalitza levolució de la pandèmia a casa nostra Diuen des de Conselleria que encara treballen en la proposta completa per al Ministeri amb el qual tenen una nova reunió esta vesprada Els recordem que lultima paraula la té el ministre Mentrestant la fotografia de levolució de lepidèmia continua mostrant un clar alentiment tot i que han augmentat les residències de majors amb casos positius Respecte a si podrem anar a qualsevol hora als bars en principi la resposta és no Una afirmació que obri la porta a la realitat que potser no tots ho faran al mateix temps i que en tot cas haurà de decidir el Ministeri No és però lúnic interrogant que es maté dací a dilluns A hores dun possible canvi de fase la consellera de Sanitat afirma que la proposta al Ministeri encara no està totalment tancada i tampoc concreta si el document aposta per fer ho per departaments de salut o si sha fet una altra divisió territorial Aspectes que podrien aclarir se esta vesprada en el consell interterritorial Més dubtes la població es pregunta si lobertura de comerços i bars tindrà com a conseqüència un canvi en les franges horàries s a dir podria donar se el cas de poder anar a sopar a un restaurant però haver de renunciar a esta possibilitat perquè no es pot anar amb els fills me,MEDICINA I SANITAT,MEDICINA I SANITAT,
I el ministre de Cultura ha recongut hui que el decret dajudes destinat al món cultural aprovat pel govern espanyol no cobrix tot el dany causat però sí que ajuda a pal·liar la parada produïda per la pandèmia del coronavirus Ho ha dit José Manuel Rodríguez Uribes en lentrevista concedida als informatius dÀ Punt Davant les crítiques rebudes per alguns sectors culturals el ministre Rodríguez Uribes defén el decret del govern espanyol de suport al sector amb milions deuros dajudes directes i milions en avals però reconeix que no sha arribat a tot El ministre de Cultura assegura que el decret destina milions deuros per al sector musical Pel que fa a festivals com ara el FIB lArenal Sound o el Rototom recorda que si la desescalada funciona bé estos esdeveniments podran tornar a partir del de juny El ministre ha refermat el seu suport a les festes valencianes com les Falles i ha dit que manté el compromís daugmentar el pressupost per al Palau de les Arts de València Aposta per un pacte destat per la cultura que ajude a enfortir el sector Rodríguez Uribes ha destacat el reconeixement del govern espanyol a alguns actes com l’Any Berlanga o leixida de la volta al món a vela d’Alacant,CULTURA,CULTURA,
